gene_ens,gene_symbol,synonymous_variant,stop_gained,missense_variant,frameshift_variant,splice,inframe,lost_stop and start,deg,related_pathway,dir_pathway,muta_count,miss_ratio,PPI
ENSG00000155087,ODF1,0.125,0,0.625,0,0,0,0,0.001762833,-0.164252879,0,-0.056762281,0.833333333,0.068127782
ENSG00000155090,KLF10,0,0.2,0.8,0,0,0,0,-0.912442499,-0.164252879,0,0.137817232,1,0.597746432
ENSG00000155093,PTPRN2,0.575757576,0,0.378787879,0,0,0,0,-1.12180919,-0.164252879,0,0.332396745,0.396825397,0.068127782
ENSG00000155096,AZIN1,0.1,0,0.266666667,0,0,0,0,0.156360658,-0.164252879,0,-0.056762281,0.727272727,-0.461490867
ENSG00000155097,ATP6V1C1,0,0,0.75,0,0,0,0,0.519026654,-0.164252879,0,-0.251341795,1,1.65698373
ENSG00000155099,TMEM55A,0,0,0.5,0,0,0,0,-0.757631728,-0.164252879,0,0.137817232,1,-0.461490867
ENSG00000155100,OTUD6B,0.25,0,0.25,0,0,0,0,0.348288275,-0.164252879,0,-0.640500821,0.5,-0.461490867
ENSG00000155111,CDK19,0.045454545,0,0.227272727,0,0,0,0,0.084406184,-0.164252879,0,-0.640500821,0.833333333,2.716221029
ENSG00000155158,TTC39B,0.12195122,0.243902439,0.243902439,0,0.146341463,0,0,-0.119389132,-0.164252879,0,0.137817232,0.666666667,-0.461490867
ENSG00000155229,MMS19,0,0,0.26984127,0,0.015873016,0,0,0.440483881,-0.164252879,0,-0.056762281,1,2.716221029
ENSG00000155249,OR4K1,0.333333333,0,0.5,0,0,0,0,0.003648476,-0.164252879,0,-0.445921308,0.6,-0.461490867
ENSG00000155252,PI4K2A,0.428571429,0.142857143,0.214285714,0,0,0,0,0.347418678,-0.164252879,0,-0.251341795,0.333333333,-0.461490867
ENSG00000155256,ZFYVE27,0.269230769,0,0.269230769,0,0.307692308,0,0,0.424435444,-0.164252879,0,-0.445921308,0.5,-0.461490867
ENSG00000155265,GOLGA7B,0.4,0,0,0,0,0,0,0.285021912,-0.164252879,0,-0.835080334,0,-0.461490867
ENSG00000155269,GPR78,0.285714286,0,0,0,0,0,0,0.596387,-0.164252879,0,-0.835080334,0,-0.461490867
ENSG00000155275,TRMT44,0,0,0.307692308,0,0,0,0,0.181121041,-0.164252879,0,-0.445921308,1,-0.461490867
ENSG00000155287,SLC25A28,0.333333333,0.111111111,0,0,0,0,0,-0.04723119,-0.164252879,0,-0.640500821,0,-0.461490867
ENSG00000155304,HSPA13,0,0,0.416666667,0,0,0,0,-0.092558751,-0.164252879,0,0.137817232,1,0.068127782
ENSG00000155307,SAMSN1,0,0,0.8,0,0,0,0,-0.507297487,-0.164252879,0,-0.056762281,1,-0.461490867
ENSG00000155313,USP25,0.290322581,0.064516129,0.241935484,0.064516129,0,0,0,-0.199952863,-0.164252879,0,0.332396745,0.454545455,2.716221029
ENSG00000155324,GRAMD3,0.079545455,0,0.238636364,0,0.079545455,0,0,0.414589177,-0.164252879,0,-0.056762281,0.75,0.068127782
ENSG00000155329,ZCCHC10,0.35,0,0.25,0,0,0,0,0.012460473,-0.164252879,0,-0.640500821,0.416666667,1.127365081
ENSG00000155330,C16orf87,0.1,0,0.3,0,0.05,0,0,0.346223836,-0.164252879,0,-0.445921308,0.75,-0.461490867
ENSG00000155363,MOV10,0.031007752,0.015503876,0.11627907,0,0,0,0,0.977372928,-0.164252879,0,0.526976258,0.789473684,0.068127782
ENSG00000155367,PPM1J,0,0,0.113924051,0,0,0,0,0.291495662,-0.164252879,0,-0.251341795,1,-0.461490867
ENSG00000155368,DBI,0,0,0.2,0,0,0,0,0.996222342,-0.164252879,0,-0.445921308,1,-0.461490867
ENSG00000155380,SLC16A1,0.061538462,0.107692308,0.092307692,0,0,0,0,0.136176892,-0.164252879,0,-0.056762281,0.6,1.127365081
ENSG00000155393,HEATR3,0.083333333,0.083333333,0.166666667,0,0,0,0,0.66630785,-0.164252879,0,-0.251341795,0.666666667,-0.461490867
ENSG00000155428,TRIM74,0.5,0,0.5,0,0,0,0,0.030669984,-0.164252879,0,-0.640500821,0.5,-0.461490867
ENSG00000155438,NIFK,0.25,0,0.125,0,0,0,0,0.394699098,-0.164252879,0,-0.640500821,0.333333333,0.068127782
ENSG00000155465,SLC7A7,0.095238095,0,0.30952381,0,0,0,0,0.251741094,-0.164252879,0,-0.251341795,0.764705882,-0.461490867
ENSG00000155495,MAGEC1,0.075,0.05,0.425,0.025,0,0,0,0.201380189,-0.164252879,0,2.083612363,0.85,0.068127782
ENSG00000155506,LARP1,0,0.015873016,0.396825397,0,0,0,0,0.361419396,-0.164252879,0,0.526976258,1,-0.461490867
ENSG00000155508,CNOT8,0.195121951,0,0.243902439,0,0,0,0,0.219690578,-0.164252879,0,-0.640500821,0.555555556,2.186602379
ENSG00000155511,GRIA1,0.15503876,0,0.565891473,0,0,0,0,-0.038710853,-0.164252879,0,1.694453337,0.784946237,2.716221029
ENSG00000155530,LRGUK,0.166666667,0.111111111,0.333333333,0.055555556,0,0,0,0.203334998,-0.164252879,0,0.916135284,0.666666667,-0.461490867
ENSG00000155542,SETD9,0,0,0.192307692,0,0,0,0,-0.019305682,-0.164252879,0,-0.251341795,1,-0.461490867
ENSG00000155545,MIER3,0,0,0.49122807,0.070175439,0.01754386,0,0,-0.060200245,-0.164252879,0,0.137817232,1,-0.461490867
ENSG00000155561,NUP205,0.089430894,0.032520325,0.219512195,0,0.008130081,0,0,0.47584529,-0.164252879,0,3.640248468,0.710526316,0.068127782
ENSG00000155592,ZKSCAN2,0.11627907,0,0.209302326,0,0,0,0,0.022800705,-0.164252879,0,0.721555771,0.642857143,-0.461490867
ENSG00000155621,C9orf85,0.3125,0,0.3125,0,0,0,0,0.117134857,-0.164252879,0,-0.640500821,0.5,-0.461490867
ENSG00000155622,XAGE2,0.5,0,0.5,0,0,0,0,0.314836247,-0.164252879,0,-0.445921308,0.5,0.068127782
ENSG00000155629,PIK3AP1,0.027777778,0,0.472222222,0,0,0,0,0.001851044,-0.164252879,0,0.526976258,0.944444444,0.597746432
ENSG00000155636,RBM45,0.076923077,0,0.307692308,0,0,0,0,0.379466102,-0.164252879,0,-0.251341795,0.8,-0.461490867
ENSG00000155657,TTN,0.052165082,0.011910258,0.169975072,0.000738621,0.002585172,0,0,0.017936222,-0.164252879,0,33.60549349,0.765170407,3.245839678
ENSG00000155659,VSIG4,0.151515152,0,0.242424242,0,0,0,0,-0.762924661,-0.164252879,0,-0.445921308,0.615384615,-0.461490867
ENSG00000155660,PDIA4,0,0.2,0.4,0,0,0,0,1.503690166,-0.164252879,0,-0.251341795,1,1.127365081
ENSG00000155666,KDM8,0.192307692,0,0.096153846,0,0,0,0,0.047755494,-0.164252879,0,-0.445921308,0.333333333,-0.461490867
ENSG00000155714,PDZD9,0.142857143,0,0,0,0,0,0,-0.069699884,-0.164252879,0,-0.835080334,0,-0.461490867
ENSG00000155719,OTOA,0.347826087,0.173913043,0,0,0,0,0,0.005820024,-0.164252879,0,-0.640500821,0,-0.461490867
ENSG00000155729,KCTD18,0.1,0,0.3,0,0,0,0,-0.221235729,-0.164252879,0,-0.251341795,0.75,-0.461490867
ENSG00000155744,FAM126B,0.086956522,0,0.043478261,0.043478261,0.043478261,0,0,0.084914134,-0.164252879,0,-0.251341795,0.333333333,0.068127782
ENSG00000155749,ALS2CR12,0.075471698,0,0.301886792,0,0,0,0,-0.042009461,-0.164252879,0,-0.056762281,0.8,-0.461490867
ENSG00000155754,ALS2CR11,0.375,0,0.5,0,0,0,0,0.101432632,-0.164252879,0,-0.640500821,0.571428571,-0.461490867
ENSG00000155755,TMEM237,0,0,0.272727273,0,0,0,0,0.122136269,-0.164252879,0,-0.640500821,1,-0.461490867
ENSG00000155760,FZD7,0.166666667,0,0.333333333,0,0,0,0,-1.687274023,-0.164252879,0,0.332396745,0.666666667,-0.461490867
ENSG00000155761,SPAG17,0.103896104,0,0.311688312,0.012987013,0.025974026,0,0,0.064413437,-0.164252879,0,3.445668955,0.75,-0.461490867
ENSG00000155792,DEPTOR,0.368421053,0,0.210526316,0,0,0,0,-0.369333897,-0.164252879,0,-0.251341795,0.363636364,1.127365081
ENSG00000155816,FMN2,0.136363636,0.136363636,0.303030303,0,0,0,0,-0.011350985,-0.164252879,0,3.056509929,0.689655172,-0.461490867
ENSG00000155827,RNF20,0.2,0.3,0,0,0,0,0,-0.283364828,-0.164252879,0,-0.640500821,0,1.65698373
ENSG00000155833,CYLC2,0,0,0.625,0,0,0,0,0.003010526,-0.164252879,0,0.137817232,1,-0.461490867
ENSG00000155846,PPARGC1B,0.161290323,0,0.741935484,0,0,0,0,-0.617186847,-0.164252879,0,0.137817232,0.821428571,0.068127782
ENSG00000155849,ELMO1,0.094339623,0,0.641509434,0,0.094339623,0,0,-0.492856624,-0.164252879,0,0.721555771,0.871794872,2.186602379
ENSG00000155858,LSM11,0,0,0.5,0,0,0,0,-0.622402323,-0.164252879,0,-0.640500821,1,-0.461490867
ENSG00000155868,MED7,0,0,0.2,0,0,0,0,-0.10310564,-0.164252879,0,-0.640500821,1,3.775458327
ENSG00000155875,SAXO1,0.2,0,0.2,0,0,0,0,0.005483568,-0.164252879,0,-0.640500821,0.5,0.068127782
ENSG00000155876,RRAGA,0.066666667,0,0.2,0,0,0.066666667,0,-0.301387394,-0.164252879,0,-0.251341795,0.75,1.65698373
ENSG00000155886,SLC24A2,0.142857143,0,0.857142857,0,0,0,0,0.11533569,-0.164252879,0,0.332396745,0.857142857,-0.461490867
ENSG00000155890,TRIM42,0.333333333,0.066666667,0.466666667,0,0,0,0,-0.001338943,-0.164252879,0,0.721555771,0.583333333,-0.461490867
ENSG00000155893,PXYLP1,0,0,0.369565217,0,0,0,0,0.880974085,-0.164252879,0,-0.251341795,1,-0.461490867
ENSG00000155897,ADCY8,0.216666667,0,0.633333333,0,0,0,0,0.013435687,-0.164252879,0,2.667350903,0.745098039,-0.461490867
ENSG00000155903,RASA2,0.16,0,0.32,0,0.08,0,0,0.125775238,3.949742219,0,0.137817232,0.666666667,-0.461490867
ENSG00000155906,RMND1,0.125,0.09375,0.46875,0,0,0,0,0.452777048,-0.164252879,0,-0.056762281,0.789473684,-0.461490867
ENSG00000155918,RAET1L,0.5,0,0.5,0,0,0,0,0.134445561,-0.164252879,0,-0.640500821,0.5,0.068127782
ENSG00000155957,TMBIM4,0,0,0.375,0,0,0,0,-0.02000111,-0.164252879,0,-0.445921308,1,-0.461490867
ENSG00000155961,RAB39B,0,0,0.5,0,0,0,0,-0.087202594,-0.164252879,0,-0.445921308,1,-0.461490867
ENSG00000155962,CLIC2,0,0,0.5,0,0,0,0,-0.874299154,-0.164252879,0,-0.640500821,1,-0.461490867
ENSG00000155966,AFF2,0.320512821,0.051282051,0.512820513,0,0,0,0,0.002315279,-0.164252879,0,1.305294311,0.615384615,-0.461490867
ENSG00000155970,MICU3,0,0,0.571428571,0,0,0,0,-1.022976989,-0.164252879,0,-0.445921308,1,-0.461490867
