Unnamed: 0,gene_symbol,synonymous_variant,stop_gained,missense_variant,frameshift_variant,splice,inframe,lost_stop and start,deg,related_pathway,dir_pathway,muta_count,miss_ratio,PPI,gene_ens
3805,SORBS2,0.0181818181818181,0.0,0.2424242424242424,0.0727272727272727,0.0,0.0,0.0,-1.9422175310226184,-0.1963259911982309,0,1.2364958612073682,0.9302325581395348,25,ENSG00000154556
3806,CXADR,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0266404654561056,-0.1963259911982309,0,0.3931502865766517,1.0,16,ENSG00000154639
3807,CHODL,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,-1.3820061962432275,-0.1963259911982309,0,-0.0285225007387065,1.0,4,ENSG00000154645
3808,TMPRSS15,0.1578947368421052,0.0526315789473684,0.4736842105263157,0.0,0.0,0.0,0.0,-0.0027737012328043,-0.1963259911982309,0,1.2364958612073682,0.75,0,ENSG00000154646
3809,NCAM2,0.15,0.05,0.625,0.0,0.0,0.0,0.0,-0.4248686003421545,-0.1963259911982309,0,2.923187010468801,0.8064516129032258,2,ENSG00000154654
3810,PDE1C,0.0638297872340425,0.2127659574468085,0.5319148936170213,0.0,0.0,0.0,0.0,-0.2996413465157718,-0.1963259911982309,0,0.3931502865766517,0.8928571428571429,8,ENSG00000154678
3811,GABPA,0.1428571428571428,0.0,0.4285714285714285,0.0,0.0,0.0,0.0,-0.6825051565980425,-0.1963259911982309,0,0.3931502865766517,0.75,11,ENSG00000154727
3812,ADAMTS1,0.0277777777777777,0.0,0.25,0.0,0.0,0.0,0.0,-1.8678975869555765,-0.1963259911982309,0,0.3931502865766517,0.8999999999999999,18,ENSG00000154734
3813,ADAMTS5,0.2,0.0,0.6,0.0,0.0,0.0,0.0,-0.13327262531682,-0.1963259911982309,0,0.3931502865766517,0.7499999999999999,2,ENSG00000154736
3814,WNT7A,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0597599997529835,5.971010913257521,0,-0.4501952880540647,0.5,7,ENSG00000154764
3815,FGD5,0.1290322580645161,0.0,0.3548387096774194,0.0,0.1290322580645161,0.0,0.0,-0.3174907211455064,-0.1963259911982309,0,1.2364958612073682,0.7333333333333334,8,ENSG00000154783
3816,PPP4R1,0.0,0.0,0.2,0.0,0.0,0.0,0.0,-0.567524611767694,-0.1963259911982309,0,-0.4501952880540647,1.0,12,ENSG00000154845
3817,APCDD1,0.0909090909090909,0.0,0.1818181818181818,0.0,0.0,0.0,0.0,1.3735146639499192,-0.1963259911982309,0,-0.0285225007387065,0.6666666666666667,3,ENSG00000154856
3818,PIEZO2,0.0943396226415094,0.0,0.3962264150943396,0.0,0.0,0.0,0.0,-0.2733793445697443,-0.1963259911982309,0,0.3931502865766517,0.8076923076923077,1,ENSG00000154864
