Unnamed: 0,gene_symbol,synonymous_variant,stop_gained,missense_variant,frameshift_variant,splice,inframe,lost_stop and start,deg,related_pathway,dir_pathway,muta_count,miss_ratio,PPI,gene_ens
11589,TTC32,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.171904072,-0.264425559,0,-0.474263322,1.0,4,ENSG00000183891
11590,LRRC55,0.25,0.0,0.75,0.0,0.0,0.0,0.0,-0.002969925,-0.264425559,0,-0.08565863,0.75,0,ENSG00000183908
11591,DNAH2,0.276595745,0.063829787,0.457446809,0.031914894,0.021276596,0.0,0.0,0.017862909,-0.264425559,0,3.217481251,0.623188406,2,ENSG00000183914
11592,SH2D1A,0.0,0.0,0.333333333,0.0,0.083333333,0.0,0.083333333,0.297430054,-0.264425559,0,0.302946062,1.0,17,ENSG00000183918
11593,PRKX,0.3,0.0,0.1,0.0,0.0,0.0,0.0,0.094597281,-0.264425559,0,-0.474263322,0.25,16,ENSG00000183943
11594,KCNH8,0.111111111,0.0,0.296296296,0.0,0.0,0.0,0.0,0.037112246,-0.264425559,0,0.691550754,0.727272727,1,ENSG00000183960
11595,SMTN,0.046391753,0.0,0.195876289,0.0,0.015463918,0.0,0.0,0.995854818,-0.264425559,0,0.8858531,0.808510638,11,ENSG00000183963
11596,ST6GALNAC3,0.166666667,0.0,0.375,0.0,0.041666667,0.0,0.041666667,-0.054842679,-0.264425559,0,0.691550754,0.692307692,6,ENSG00000184005
11597,ACTG1,0.231578947,0.0,0.2,0.0,0.0,0.0,0.0,0.121415993,4.165429995,0,-0.08565863,0.463414634,107,ENSG00000184009
11598,TMPRSS2,0.34375,0.0,0.375,0.0,0.0,0.0,0.0,-1.63636502,-0.264425559,0,-0.279960976,0.52173913,6,ENSG00000184012
11599,DENND5A,0.315789474,0.0,0.315789474,0.0,0.0,0.0,0.0,0.57941961,-0.264425559,0,-0.279960976,0.5,6,ENSG00000184014
11600,OR2T10,0.25,0.0,0.25,0.0,0.0,0.0,0.0,-0.006875537,-0.264425559,0,-0.279960976,0.5,2,ENSG00000184022
11601,KRTAP20-2,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.000508947,-0.264425559,0,-0.474263322,1.0,0,ENSG00000184032
11602,VPS33B,0.04,0.16,0.16,0.0,0.0,0.0,0.0,0.150985957,-0.264425559,0,0.108643716,0.8,14,ENSG00000184056
11603,TBX1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.091684275,-0.264425559,0,-0.474263322,0.5,1,ENSG00000184058
11604,ADAP2,0.5,0.0,0.133333333,0.0,0.0,0.0,0.0,0.391903343,-0.264425559,0,-0.474263322,0.210526316,2,ENSG00000184060
11605,FAM120C,0.1,0.0,0.3,0.0,0.0,0.3,0.0,-0.02978312,-0.264425559,0,-0.279960976,0.75,80,ENSG00000184083
11606,TRIML1,0.0625,0.0,0.125,0.0,0.041666667,0.0,0.0,0.132769105,-0.264425559,0,0.691550754,0.666666667,3,ENSG00000184108
11607,NIPSNAP1,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.720681836,-0.264425559,0,-0.279960976,1.0,38,ENSG00000184117
11608,OR4F6,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.000679956,-0.264425559,0,-0.279960976,1.0,1,ENSG00000184140
11609,CNTN2,0.092592593,0.0,0.111111111,0.0,0.0,0.0,0.0,0.000351149,-0.264425559,0,0.497248408,0.545454545,11,ENSG00000184144
11610,LRTOMT,0.0,0.0,0.171052632,0.0,0.0,0.0,0.0,-0.032762013,-0.264425559,0,-0.474263322,1.0,1,ENSG00000184154
11611,OR10J5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.001354866,-0.264425559,0,-0.279960976,0.5,2,ENSG00000184155
11612,KCNQ3,0.171428571,0.0,0.571428571,0.0,0.0,0.0,0.0,0.038157058,-0.264425559,0,1.274457791,0.769230769,15,ENSG00000184156
11613,ADRA2C,0.333333333,0.0,0.222222222,0.0,0.0,0.0,0.0,0.316847593,-0.264425559,0,-0.279960976,0.4,50,ENSG00000184160
11614,NR2C2AP,0.0,0.065789474,0.078947368,0.0,0.0,0.0,0.0,0.705324138,-0.264425559,0,-0.08565863,1.0,4,ENSG00000184162
