Unnamed: 0,gene_symbol,synonymous_variant,stop_gained,missense_variant,frameshift_variant,splice,inframe,lost_stop and start,deg,related_pathway,dir_pathway,muta_count,miss_ratio,PPI,gene_ens
1597,WDR59,0.0,0.0,0.333333333,0.0,0.0,0.0,0.0,-0.061281994,-0.239753503,0,-0.242244029,1.0,21,ENSG00000103091
1598,AXIN1,0.0,0.0,0.5,0.0,0.25,0.0,0.0,0.388759616,-0.239753503,0,-0.242244029,1.0,39,ENSG00000103126
1599,NPRL3,0.0,0.0,0.272727273,0.0,0.0,0.0,0.0,0.485306553,-0.239753503,0,-0.242244029,1.0,12,ENSG00000103148
1600,TAF1C,0.0,0.0,0.166666667,0.0,0.0,0.0,0.0,0.108293839,-0.239753503,0,-0.242244029,1.0,18,ENSG00000103168
1601,SEC14L5,0.25,0.0,0.5,0.0,0.0,0.0,0.0,0.24797607,-0.239753503,0,1.115168582,0.666666667,1,ENSG00000103184
1602,COTL1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.323148829,-0.239753503,0,-0.920950334,0.0,0,ENSG00000103187
1603,USP10,0.136363636,0.0,0.181818182,0.0,0.0,0.0,0.0,-0.044977673,-0.239753503,0,-0.242244029,0.571428571,27,ENSG00000103194
1604,TSC2,0.0,0.0,0.403225806,0.0,0.0,0.0,0.0,0.077593586,5.319674158,0,1.793874888,1.0,22,ENSG00000103197
1605,ABCC1,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.352097398,-0.239753503,0,-0.242244029,1.0,11,ENSG00000103222
1606,NOMO3,0.0,0.0,0.153846154,0.0,0.0,0.0,0.0,-0.012979129,-0.239753503,0,-0.242244029,1.0,7,ENSG00000103226
1607,MTHFSD,0.314285714,0.0,0.114285714,0.0,0.0,0.0,0.0,0.025609893,-0.239753503,0,-0.242244029,0.266666667,4,ENSG00000103248
